day_of_week,hour_of_day,category,items_count
1,5,fresh herbs,3
2,4,coffee,3
2,18,candy chocolate,9
2,12,hot cereal pancake mixes,12
2,16,crackers,24
2,19,frozen dessert,3
3,8,frozen pizza,8
3,16,soft drinks,10
3,13,chips pretzels,28
3,14,plates bowls cups flatware,6
3,7,cleaning products,2
3,21,spreads,6
3,6,oral hygiene,4
3,13,popcorn jerky,8
3,0,packaged vegetables fruits,6
3,9,instant foods,4
3,16,canned meals beans,2
0,19,cookies cakes,12
0,1,tea,6
0,1,prepared meals,3
0,13,prepared meals,18
0,13,frozen dessert,3
0,23,frozen breakfast,3
0,23,muscles joints pain relief,3
1,21,cream,3
1,20,fresh fruits,93
1,20,ice cream ice,51
1,7,pasta sauce,9
1,20,energy granola bars,12
1,18,breakfast bakery,6
1,15,doughs gelatins bake mixes,6
1,15,butter,6
1,8,tea,9
1,8,frozen pizza,3
1,10,trash bags liners,3
2,8,fresh vegetables,111
2,22,fresh pasta,3
2,19,cookies cakes,15
2,18,breakfast bakery,12
2,8,bread,30
2,11,prepared meals,9
2,19,body lotions soap,3
2,13,fruit vegetable snacks,3
2,20,soft drinks,6
2,5,fresh vegetables,3
2,13,frozen appetizers sides,6
2,4,hot dogs bacon sausage,6
3,9,muscles joints pain relief,2
3,22,ice cream ice,22
3,18,yogurt,22
3,17,soup broth bouillon,8
3,8,frozen dessert,2
0,15,milk,60
0,22,baking ingredients,3
0,9,crackers,18
1,20,cereal,3
1,0,fresh fruits,30
1,17,missing,12
1,15,popcorn jerky,3
1,10,kosher foods,6
2,13,packaged cheese,57
2,19,fresh vegetables,60
2,13,food storage,6
2,22,soup broth bouillon,12
2,14,prepared meals,15
2,19,cat food care,3
3,21,breakfast bakery,8
3,16,frozen meat seafood,4
3,11,packaged poultry,8
3,20,oils vinegars,6
3,2,tortillas flat bread,6
3,12,soy lactosefree,6
3,10,prepared soups salads,2
3,12,soup broth bouillon,4
0,16,fresh dips tapenades,36
0,21,chips pretzels,15
0,20,spices seasonings,9
0,21,trash bags liners,3
1,17,bread,18
1,17,packaged cheese,54
1,5,fresh dips tapenades,3
1,13,soft drinks,15
1,9,soft drinks,33
1,6,spreads,6
1,20,buns rolls,3
1,15,dish detergents,12
1,18,mint gum,3
1,9,salad dressing toppings,6
2,9,breakfast bakery,12
2,6,energy granola bars,6
2,20,bread,9
2,16,cleaning products,6
2,10,oral hygiene,6
2,17,frozen appetizers sides,3
2,12,soup broth bouillon,27
2,22,frozen produce,18
2,1,refrigerated,3
2,4,fresh fruits,21
2,12,coffee,6
2,21,soy lactosefree,3
3,15,fresh vegetables,100
3,15,fresh fruits,86
3,17,asian foods,14
3,23,instant foods,2
3,18,frozen meat seafood,2
3,15,fruit vegetable snacks,10
3,9,other creams cheeses,2
3,21,canned meals beans,2
3,16,beauty,2
3,18,prepared meals,4
3,12,paper goods,4
3,5,cookies cakes,8
0,22,refrigerated,18
0,18,pickled goods olives,6
0,18,packaged produce,18
0,15,skin care,6
0,21,other creams cheeses,6
0,13,energy sports drinks,6
0,13,baking supplies decor,6
0,3,other creams cheeses,6
0,8,prepared meals,3
0,7,hot cereal pancake mixes,3
0,16,latino foods,9
0,18,candy chocolate,12
0,9,tea,6
1,14,coffee,12
1,16,dog food care,3
1,20,coffee,9
2,19,ice cream ice,18
2,11,butter,6
2,17,digestion,3
2,15,coffee,3
2,15,food storage,3
2,14,canned fruit applesauce,3
3,13,asian foods,8
3,13,ice cream ice,24
3,18,preserved dips spreads,2
3,9,canned meals beans,10
3,14,refrigerated,8
3,6,soft drinks,4
3,18,soft drinks,6
3,22,dish detergents,2
3,2,bread,2
0,12,pasta sauce,30
0,17,missing,21
0,12,asian foods,15
0,9,soap,3
0,18,grains rice dried goods,3
1,13,yogurt,51
1,22,canned meat seafood,3
1,10,specialty cheeses,6
1,11,bakery desserts,3
1,17,seafood counter,3
2,12,fresh fruits,198
2,18,seafood counter,6
2,16,bread,6
2,16,instant foods,9
3,13,eggs,24
3,13,fresh fruits,130
3,7,fresh fruits,44
3,14,butter,4
3,12,water seltzer sparkling water,22
3,12,baking ingredients,4
3,11,honeys syrups nectars,2
0,10,milk,66
0,13,frozen vegan vegetarian,27
0,18,meat counter,3
0,17,beers coolers,3
0,9,frozen meals,12
0,18,oral hygiene,12
0,16,packaged produce,21
0,20,coffee,3
1,15,fresh herbs,15
1,13,canned fruit applesauce,9
1,9,refrigerated,39
1,14,vitamins supplements,6
1,13,dry pasta,15
1,8,packaged cheese,39
1,19,preserved dips spreads,6
1,5,packaged cheese,3
1,8,tofu meat alternatives,3
2,15,refrigerated,21
2,13,pasta sauce,18
2,22,soy lactosefree,3
2,16,cocoa drink mixes,3
2,4,prepared soups salads,3
3,2,dry pasta,2
0,15,soup broth bouillon,54
0,11,energy granola bars,54
0,9,baking ingredients,27
1,17,soup broth bouillon,30
1,18,butter,6
1,9,water seltzer sparkling water,72
1,22,water seltzer sparkling water,9
1,10,doughs gelatins bake mixes,3
1,15,indian foods,3
2,9,fresh vegetables,159
2,15,asian foods,3
2,14,eggs,21
2,22,oils vinegars,3
2,9,spices seasonings,3
2,13,tea,12
2,12,oils vinegars,18
2,5,feminine care,3
3,9,bakery desserts,2
3,16,plates bowls cups flatware,2
3,14,spices seasonings,4
3,12,spreads,4
3,23,food storage,4
3,10,condiments,4
3,2,dish detergents,2
0,12,milk,72
0,13,fresh pasta,9
0,9,baby bath body care,3
0,15,protein meal replacements,3
0,19,oral hygiene,3
0,20,popcorn jerky,9
0,14,tofu meat alternatives,9
0,20,cereal,6
0,23,breakfast bars pastries,3
0,0,ice cream ice,6
1,12,juice nectars,15
1,15,water seltzer sparkling water,57
1,20,facial care,3
1,16,breakfast bakery,15
1,18,tofu meat alternatives,9
1,15,other creams cheeses,9
1,17,paper goods,9
1,9,canned fruit applesauce,3
1,19,baking ingredients,9
1,14,specialty cheeses,3
1,19,frozen produce,9
2,19,hot dogs bacon sausage,9
2,17,spreads,9
2,6,fresh herbs,3
2,12,meat counter,3
2,23,bulk dried fruits vegetables,3
2,21,bulk dried fruits vegetables,3
2,17,fruit vegetable snacks,9
3,19,fresh fruits,50
3,7,frozen produce,4
3,12,dry pasta,6
3,18,oils vinegars,6
3,13,plates bowls cups flatware,2
3,1,oral hygiene,4
3,23,other,2
3,11,bulk dried fruits vegetables,2
3,13,kitchen supplies,2
0,16,packaged cheese,102
0,9,tortillas flat bread,9
0,16,dry pasta,42
0,5,fresh herbs,9
0,0,soup broth bouillon,3
0,6,bread,3
0,13,asian foods,3
1,10,tea,18
1,17,refrigerated,27
1,9,honeys syrups nectars,6
1,0,water seltzer sparkling water,3
1,7,energy granola bars,21
1,12,milk,27
1,10,butter,24
1,11,salad dressing toppings,12
1,13,packaged meat,3
1,22,refrigerated,6
2,10,fresh dips tapenades,21
2,22,water seltzer sparkling water,9
2,8,buns rolls,6
2,14,cereal,24
2,18,yogurt,45
2,11,cereal,9
2,18,oral hygiene,3
3,10,asian foods,4
3,10,fresh fruits,98
3,10,canned meals beans,12
3,10,spreads,6
3,9,canned jarred vegetables,14
3,12,cookies cakes,2
3,23,packaged produce,2
3,17,baking ingredients,4
3,17,preserved dips spreads,6
3,9,tea,10
3,12,meat counter,2
3,19,fresh herbs,4
3,20,latino foods,2
3,20,honeys syrups nectars,2
3,14,canned meals beans,4
3,2,baking ingredients,4
3,18,pickled goods olives,2
0,15,eggs,33
0,17,bread,51
0,9,other creams cheeses,18
0,16,refrigerated pudding desserts,9
0,15,cocoa drink mixes,3
0,7,packaged produce,24
0,19,soft drinks,24
0,5,baby food formula,12
1,14,trail mix snack mix,3
1,14,pickled goods olives,6
1,7,soup broth bouillon,27
1,6,dry pasta,3
1,7,fresh dips tapenades,9
1,14,cookies cakes,9
1,20,dry pasta,6
1,0,eggs,3
2,12,energy granola bars,9
2,19,frozen meals,30
2,18,packaged poultry,9
2,19,butter,12
2,19,grains rice dried goods,12
2,13,frozen breakfast,6
2,1,prepared meals,6
2,5,canned meals beans,3
2,18,frozen meat seafood,3
3,10,pasta sauce,2
3,19,lunch meat,4
3,13,packaged vegetables fruits,62
3,8,fresh fruits,40
3,8,tea,10
3,11,frozen breakfast,4
3,6,packaged produce,2
3,22,energy granola bars,6
3,13,fresh dips tapenades,4
0,19,packaged cheese,51
0,10,tofu meat alternatives,12
0,12,condiments,24
0,21,soup broth bouillon,3
0,21,beauty,3
0,14,prepared meals,24
0,8,vitamins supplements,6
0,10,canned jarred vegetables,24
0,16,food storage,3
0,11,granola,6
0,23,candy chocolate,6
0,18,soup broth bouillon,6
1,15,dry pasta,6
1,11,cookies cakes,18
1,13,missing,3
1,18,indian foods,12
1,8,paper goods,15
2,6,fresh fruits,18
2,22,candy chocolate,3
2,13,breakfast bars pastries,3
3,9,more household,4
3,19,frozen breads doughs,2
3,7,doughs gelatins bake mixes,4
3,11,packaged cheese,12
3,5,water seltzer sparkling water,6
3,12,energy granola bars,14
3,15,poultry counter,4
3,15,canned meals beans,2
3,14,meat counter,2
0,18,packaged vegetables fruits,120
0,11,fresh vegetables,447
0,16,pickled goods olives,18
0,6,fresh vegetables,69
0,14,cereal,75
0,12,grains rice dried goods,6
0,21,packaged poultry,3
0,17,mint gum,3
0,7,chips pretzels,6
1,19,pickled goods olives,12
1,13,fresh vegetables,243
1,7,juice nectars,9
1,8,dry pasta,12
1,20,cream,9
1,13,canned meals beans,30
1,13,hot dogs bacon sausage,6
1,8,bread,36
1,23,bread,3
1,15,cold flu allergy,3
1,7,asian foods,6
2,9,milk,33
2,20,frozen produce,30
2,0,fresh dips tapenades,3
3,8,coffee,6
3,8,frozen appetizers sides,4
3,17,oral hygiene,4
3,14,fresh herbs,8
3,11,tofu meat alternatives,2
3,14,frozen vegan vegetarian,2
3,18,fresh pasta,2
0,17,ice cream ice,60
0,18,packaged cheese,30
0,17,oils vinegars,12
0,22,bulk dried fruits vegetables,3
1,19,fresh vegetables,102
1,16,packaged cheese,45
1,11,energy granola bars,15
1,8,fruit vegetable snacks,3
1,15,hot cereal pancake mixes,3
2,17,pasta sauce,9
2,12,cream,9
2,7,prepared meals,9
2,17,breakfast bakery,24
2,22,nuts seeds dried fruit,3
2,20,pasta sauce,6
3,15,frozen vegan vegetarian,6
3,16,packaged vegetables fruits,38
3,23,prepared meals,2
3,13,dry pasta,14
3,7,cat food care,2
3,9,baby bath body care,2
3,21,coffee,4
0,16,frozen produce,42
0,14,dish detergents,9
0,15,packaged meat,3
0,12,canned meat seafood,3
0,19,trash bags liners,3
0,8,energy granola bars,21
0,11,doughs gelatins bake mixes,18
0,22,oils vinegars,6
0,23,prepared soups salads,3
0,19,latino foods,3
0,8,instant foods,3
1,15,meat counter,3
1,0,granola,6
1,7,ice cream ice,6
2,15,milk,33
2,4,packaged vegetables fruits,18
2,22,breakfast bakery,6
2,9,spreads,15
2,22,buns rolls,3
2,10,frozen appetizers sides,3
2,8,asian foods,6
2,2,yogurt,3
2,4,yogurt,6
2,4,doughs gelatins bake mixes,3
2,6,instant foods,3
2,20,crackers,3
2,17,protein meal replacements,3
2,9,trash bags liners,6
3,19,cereal,22
3,18,prepared soups salads,2
3,2,spreads,2
0,8,canned meals beans,18
0,9,frozen meat seafood,12
0,13,pickled goods olives,6
0,14,fresh pasta,3
0,14,frozen meals,30
0,1,refrigerated,6
0,21,packaged cheese,24
0,17,digestion,6
0,16,breakfast bars pastries,9
0,21,packaged seafood,3
0,18,feminine care,3
1,11,refrigerated,39
